,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month,Min_price
473,2012-02-01,Karnataka,Mandya,Rice,9.0,1400.0,1687,1539,2012,2,1391
479,2012-03-01,Karnataka,Mandya,Rice,5.0,1380.0,1700,1552,2012,3,1404
482,2012-04-01,Karnataka,Mandya,Rice,9.0,1450.0,1642,1494,2012,4,1346
485,2012-05-01,Karnataka,Mandya,Rice,3.0,800.0,1720,1572,2012,5,1424
493,2012-06-01,Karnataka,Mandya,Rice,10.0,1760.0,1700,1552,2012,6,1404
500,2012-07-01,Karnataka,Mandya,Rice,13.0,1390.0,1712,1564,2012,7,1416
507,2012-08-01,Karnataka,Mandya,Rice,9.0,1600.0,1642,1494,2012,8,1346
515,2012-09-01,Karnataka,Mandya,Rice,10.0,1800.0,1712,1564,2012,9,1416
517,2012-10-01,Karnataka,Mandya,Rice,10.0,2000.0,1687,1539,2012,10,1391
518,2012-11-01,Karnataka,Mandya,Rice,10.0,2200.0,1720,1572,2012,11,1424
519,2012-12-01,Karnataka,Mandya,Rice,9.0,1450.0,1687,1539,2012,12,1391
520,2013-01-01,Karnataka,Mandya,Rice,7.0,1800.0,1687,1539,2013,1,1391
522,2013-02-01,Karnataka,Mandya,Rice,2.0,1800.0,1667,1519,2013,2,1371
524,2013-03-01,Karnataka,Mandya,Rice,8.0,5200.0,1680,1532,2013,3,1384
526,2013-04-01,Karnataka,Mandya,Rice,6.0,1800.0,1622,1474,2013,4,1326
530,2013-05-01,Karnataka,Mandya,Rice,1.0,2000.0,1700,1552,2013,5,1404
533,2013-06-01,Karnataka,Mandya,Rice,7.0,2000.0,1680,1532,2013,6,1384
535,2013-07-01,Karnataka,Mandya,Rice,4.0,1200.0,1692,1544,2013,7,1396
541,2013-08-01,Karnataka,Mandya,Rice,10.0,2400.0,1622,1474,2013,8,1326
543,2013-09-01,Karnataka,Mandya,Rice,14.0,1600.0,1692,1544,2013,9,1396
548,2013-10-01,Karnataka,Mandya,Rice,1.0,1500.0,1667,1519,2013,10,1371
555,2013-11-01,Karnataka,Mandya,Rice,20.0,2100.0,1700,1552,2013,11,1404
561,2013-12-01,Karnataka,Mandya,Rice,10.0,2100.0,1667,1519,2013,12,1371
565,2014-01-01,Karnataka,Mandya,Rice,1.0,2000.0,1667,1519,2014,1,1371
575,2014-02-01,Karnataka,Mandya,Rice,10.0,1940.0,1679,1531,2014,2,1383
585,2014-03-01,Karnataka,Mandya,Rice,7.0,1545.0,1692,1544,2014,3,1396
595,2014-04-01,Karnataka,Mandya,Rice,10.0,1900.0,1634,1486,2014,4,1338
599,2014-05-01,Karnataka,Mandya,Rice,10.0,1940.0,1712,1564,2014,5,1416
614,2014-06-01,Karnataka,Mandya,Rice,5.0,1400.0,1692,1544,2014,6,1396
626,2014-07-01,Karnataka,Mandya,Rice,16.0,1930.0,1704,1556,2014,7,1408
633,2014-08-01,Karnataka,Mandya,Rice,1.0,2200.0,1634,1486,2014,8,1338
644,2014-09-01,Karnataka,Mandya,Rice,16.0,1935.0,1704,1556,2014,9,1408
659,2014-10-01,Karnataka,Mandya,Rice,9.0,1933.0,1679,1531,2014,10,1383
675,2014-11-01,Karnataka,Mandya,Rice,10.0,1900.0,1712,1564,2014,11,1416
683,2014-12-01,Karnataka,Mandya,Rice,10.0,1900.0,1679,1531,2014,12,1383
692,2015-01-01,Karnataka,Mandya,Rice,160.0,2000.0,1679,1531,2015,1,1383
696,2015-02-01,Karnataka,Mandya,Rice,300.0,1800.0,1609,1461,2015,2,1313
700,2015-03-01,Karnataka,Mandya,Rice,12.0,1800.0,1622,1474,2015,3,1326
704,2015-04-01,Karnataka,Mandya,Rice,10.0,1900.0,1564,1416,2015,4,1268
706,2015-05-01,Karnataka,Mandya,Rice,100.0,1870.0,1642,1494,2015,5,1346
713,2015-06-01,Karnataka,Mandya,Rice,16.0,2000.0,1622,1474,2015,6,1326
717,2015-07-01,Karnataka,Mandya,Rice,200.0,1800.0,1634,1486,2015,7,1338
721,2015-08-01,Karnataka,Mandya,Rice,10.0,1900.0,1564,1416,2015,8,1268
723,2015-09-01,Karnataka,Mandya,Rice,10.0,1900.0,1634,1486,2015,9,1338
726,2015-10-01,Karnataka,Mandya,Rice,8.0,4740.0,1609,1461,2015,10,1313
728,2015-11-01,Karnataka,Mandya,Rice,260.0,1300.0,1642,1494,2015,11,1346
735,2015-12-01,Karnataka,Mandya,Rice,16.0,2000.0,1609,1461,2015,12,1313
740,2016-01-01,Karnataka,Mandya,Rice,16.0,1900.0,1609,1461,2016,1,1313
745,2016-02-01,Karnataka,Mandya,Rice,10.0,2000.0,1679,1531,2016,2,1383
753,2016-03-01,Karnataka,Mandya,Rice,20.0,1900.0,1692,1544,2016,3,1396
765,2016-04-01,Karnataka,Mandya,Rice,16.0,1900.0,1634,1486,2016,4,1338
774,2016-05-01,Karnataka,Mandya,Rice,26.0,1000.0,1712,1564,2016,5,1416
783,2016-06-01,Karnataka,Mandya,Rice,10.0,1900.0,1692,1544,2016,6,1396
789,2016-07-01,Karnataka,Mandya,Rice,96.0,1787.0,1704,1556,2016,7,1408
790,2016-08-01,Karnataka,Mandya,Rice,9.0,1900.0,1634,1486,2016,8,1338
794,2016-09-01,Karnataka,Mandya,Rice,16.0,1900.0,1704,1556,2016,9,1408
804,2016-10-01,Karnataka,Mandya,Rice,10.0,1900.0,1679,1531,2016,10,1383
813,2016-11-01,Karnataka,Mandya,Rice,10.0,1900.0,1712,1564,2016,11,1416
827,2016-12-01,Karnataka,Mandya,Rice,16.0,1900.0,1679,1531,2016,12,1383
835,2017-01-01,Karnataka,Mandya,Rice,32.0,1871.0,1679,1531,2017,1,1383
836,2017-02-01,Karnataka,Mandya,Rice,48.0,1842.0,1654,1506,2017,2,1358
838,2017-03-01,Karnataka,Mandya,Rice,15.0,2150.0,1667,1519,2017,3,1371
842,2017-04-01,Karnataka,Mandya,Rice,16.0,2100.0,1609,1461,2017,4,1313
847,2017-05-01,Karnataka,Mandya,Rice,33.0,2100.0,1687,1539,2017,5,1391
852,2017-06-01,Karnataka,Mandya,Rice,63.0,1825.0,1667,1519,2017,6,1371
854,2017-07-01,Karnataka,Mandya,Rice,283.0,1158.0,1679,1531,2017,7,1383
856,2017-08-01,Karnataka,Mandya,Rice,63.0,2470.0,1609,1461,2017,8,1313
857,2017-09-01,Karnataka,Mandya,Rice,43.0,2413.3333333333335,1679,1531,2017,9,1383
858,2017-10-01,Karnataka,Mandya,Rice,23.0,2356.6666666666665,1654,1506,2017,10,1358
859,2017-11-01,Karnataka,Mandya,Rice,3.0,2300.0,1687,1539,2017,11,1391
860,2017-12-01,Karnataka,Mandya,Rice,3.0,1500.0,1654,1506,2017,12,1358
