,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month,Min_price
987,2014-09-01,Andhra Pradesh,Kurnool,Rice,0.1,,1118,970,2014,9,822
1004,2014-10-01,Andhra Pradesh,Kurnool,Rice,0.1,,1172,1024,2014,10,876
1020,2014-11-01,Andhra Pradesh,Kurnool,Rice,0.1,,1073,925,2014,11,777
1038,2014-12-01,Andhra Pradesh,Kurnool,Rice,0.1,,1172,1024,2014,12,876
1054,2015-01-01,Andhra Pradesh,Kurnool,Rice,0.1,,1172,1024,2015,1,876
1068,2015-02-01,Andhra Pradesh,Kurnool,Rice,0.1,,1187,1039,2015,2,891
1090,2015-03-01,Andhra Pradesh,Kurnool,Rice,0.1,,1185,1037,2015,3,889
1108,2015-04-01,Andhra Pradesh,Kurnool,Rice,0.1,,1148,1000,2015,4,852
1122,2015-05-01,Andhra Pradesh,Kurnool,Rice,0.1,,1088,940,2015,5,792
1144,2015-06-01,Andhra Pradesh,Kurnool,Rice,0.1,,1185,1037,2015,6,889
1167,2015-07-01,Andhra Pradesh,Kurnool,Rice,0.1,,1133,985,2015,7,837
1192,2015-08-01,Andhra Pradesh,Kurnool,Rice,0.1,,1148,1000,2015,8,852
1213,2015-09-01,Andhra Pradesh,Kurnool,Rice,0.1,,1133,985,2015,9,837
1236,2015-10-01,Andhra Pradesh,Kurnool,Rice,0.1,,1187,1039,2015,10,891
1259,2015-11-01,Andhra Pradesh,Kurnool,Rice,0.1,,1088,940,2015,11,792
1282,2015-12-01,Andhra Pradesh,Kurnool,Rice,0.1,,1187,1039,2015,12,891
1302,2016-01-01,Andhra Pradesh,Kurnool,Rice,0.1,,1187,1039,2016,1,891
1314,2016-02-01,Andhra Pradesh,Kurnool,Rice,0.1,,1172,1024,2016,2,876
1327,2016-03-01,Andhra Pradesh,Kurnool,Rice,0.1,,1170,1022,2016,3,874
1328,2016-04-01,Andhra Pradesh,Kurnool,Rice,0.1,,1133,985,2016,4,837
1330,2016-05-01,Andhra Pradesh,Kurnool,Rice,0.1,,1073,925,2016,5,777
1332,2016-06-01,Andhra Pradesh,Kurnool,Rice,0.1,,1170,1022,2016,6,874
1334,2016-07-01,Andhra Pradesh,Kurnool,Rice,0.1,,1118,970,2016,7,822
1336,2016-08-01,Andhra Pradesh,Kurnool,Rice,0.1,,1133,985,2016,8,837
1337,2016-09-01,Andhra Pradesh,Kurnool,Rice,0.1,,1118,970,2016,9,822
1339,2016-10-01,Andhra Pradesh,Kurnool,Rice,0.1,,1172,1024,2016,10,876
1341,2016-11-01,Andhra Pradesh,Kurnool,Rice,0.1,,1073,925,2016,11,777
1342,2016-12-01,Andhra Pradesh,Kurnool,Rice,0.1,,1172,1024,2016,12,876
1343,2017-01-01,Andhra Pradesh,Kurnool,Rice,0.1,,1172,1024,2017,1,876
1344,2017-02-01,Andhra Pradesh,Kurnool,Rice,0.1,,1226,1078,2017,2,930
1345,2017-03-01,Andhra Pradesh,Kurnool,Rice,0.1,,1224,1076,2017,3,928
1346,2017-04-01,Andhra Pradesh,Kurnool,Rice,0.1,,1187,1039,2017,4,891
1347,2017-05-01,Andhra Pradesh,Kurnool,Rice,0.1,,1127,979,2017,5,831
1348,2017-06-01,Andhra Pradesh,Kurnool,Rice,0.1,,1224,1076,2017,6,928
1349,2017-07-01,Andhra Pradesh,Kurnool,Rice,0.1,,1172,1024,2017,7,876
1350,2017-08-01,Andhra Pradesh,Kurnool,Rice,0.1,,1187,1039,2017,8,891
1351,2017-09-01,Andhra Pradesh,Kurnool,Rice,0.1,,1172,1024,2017,9,876
1352,2017-10-01,Andhra Pradesh,Kurnool,Rice,0.1,,1226,1078,2017,10,930
1353,2017-11-01,Andhra Pradesh,Kurnool,Rice,0.1,,1127,979,2017,11,831
1354,2017-12-01,Andhra Pradesh,Kurnool,Rice,0.1,,1226,1078,2017,12,930
