,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month,Min_price
1171,2011-07-01,Andhra Pradesh,Krishna,Rice,1.0,2000.0,1533,1385,2011,7,1237
1263,2011-08-01,Andhra Pradesh,Krishna,Rice,1.0,2000.0,1507,1359,2011,8,1211
1354,2011-09-01,Andhra Pradesh,Krishna,Rice,1.0,2000.0,1533,1385,2011,9,1237
1440,2011-10-01,Andhra Pradesh,Krishna,Rice,1.0,2000.0,1502,1354,2011,10,1206
1535,2011-11-01,Andhra Pradesh,Krishna,Rice,1.0,2000.0,1547,1399,2011,11,1251
1628,2011-12-01,Andhra Pradesh,Krishna,Rice,1.0,2000.0,1502,1354,2011,12,1206
1718,2012-01-01,Andhra Pradesh,Krishna,Rice,0.1,1700.0,1502,1354,2012,1,1206
1796,2012-02-01,Andhra Pradesh,Krishna,Rice,0.1,1700.0,1542,1394,2012,2,1246
1855,2012-03-01,Andhra Pradesh,Krishna,Rice,0.1,1750.0,1623,1475,2012,3,1327
1918,2012-04-01,Andhra Pradesh,Krishna,Rice,0.1,1700.0,1547,1399,2012,4,1251
1979,2012-05-01,Andhra Pradesh,Krishna,Rice,0.1,1700.0,1587,1439,2012,5,1291
2046,2012-06-01,Andhra Pradesh,Krishna,Rice,0.1,1700.0,1623,1475,2012,6,1327
2108,2012-07-01,Andhra Pradesh,Krishna,Rice,0.1,1700.0,1573,1425,2012,7,1277
2172,2012-08-01,Andhra Pradesh,Krishna,Rice,0.1,1700.0,1547,1399,2012,8,1251
2236,2012-09-01,Andhra Pradesh,Krishna,Rice,0.1,1700.0,1573,1425,2012,9,1277
2297,2012-10-01,Andhra Pradesh,Krishna,Rice,0.1,1700.0,1542,1394,2012,10,1246
2360,2012-11-01,Andhra Pradesh,Krishna,Rice,0.1,1700.0,1587,1439,2012,11,1291
2422,2012-12-01,Andhra Pradesh,Krishna,Rice,0.1,1700.0,1542,1394,2012,12,1246
2487,2013-01-01,Andhra Pradesh,Krishna,Rice,0.1,2100.0,1542,1394,2013,1,1246
2544,2013-02-01,Andhra Pradesh,Krishna,Rice,0.1,2100.0,1578,1430,2013,2,1282
2595,2013-03-01,Andhra Pradesh,Krishna,Rice,0.1,2100.0,1659,1511,2013,3,1363
2637,2013-04-01,Andhra Pradesh,Krishna,Rice,0.1,2100.0,1583,1435,2013,4,1287
2660,2013-05-01,Andhra Pradesh,Krishna,Rice,0.1,2100.0,1623,1475,2013,5,1327
2679,2013-06-01,Andhra Pradesh,Krishna,Rice,0.1,2100.0,1659,1511,2013,6,1363
2733,2013-07-01,Andhra Pradesh,Krishna,Rice,0.1,2100.0,1609,1461,2013,7,1313
2792,2013-08-01,Andhra Pradesh,Krishna,Rice,0.1,2100.0,1583,1435,2013,8,1287
2848,2013-09-01,Andhra Pradesh,Krishna,Rice,0.1,2100.0,1609,1461,2013,9,1313
2889,2013-10-01,Andhra Pradesh,Krishna,Rice,0.1,2100.0,1578,1430,2013,10,1282
2937,2013-11-01,Andhra Pradesh,Krishna,Rice,0.1,2100.0,1623,1475,2013,11,1327
2993,2013-12-01,Andhra Pradesh,Krishna,Rice,0.1,2100.0,1578,1430,2013,12,1282
3049,2014-01-01,Andhra Pradesh,Krishna,Rice,0.1,2400.0,1578,1430,2014,1,1282
3110,2014-02-01,Andhra Pradesh,Krishna,Rice,0.1,2400.0,1528,1380,2014,2,1232
3166,2014-03-01,Andhra Pradesh,Krishna,Rice,0.1,2400.0,1609,1461,2014,3,1313
3226,2014-04-01,Andhra Pradesh,Krishna,Rice,0.1,2400.0,1533,1385,2014,4,1237
3284,2014-05-01,Andhra Pradesh,Krishna,Rice,0.1,2400.0,1573,1425,2014,5,1277
3344,2014-06-01,Andhra Pradesh,Krishna,Rice,0.1,2400.0,1609,1461,2014,6,1313
3406,2014-07-01,Andhra Pradesh,Krishna,Rice,0.1,2400.0,1559,1411,2014,7,1263
3471,2014-08-01,Andhra Pradesh,Krishna,Rice,0.1,2400.0,1533,1385,2014,8,1237
3530,2014-09-01,Andhra Pradesh,Krishna,Rice,0.1,2400.0,1559,1411,2014,9,1263
3588,2014-10-01,Andhra Pradesh,Krishna,Rice,0.1,2400.0,1528,1380,2014,10,1232
3650,2014-11-01,Andhra Pradesh,Krishna,Rice,0.1,2400.0,1573,1425,2014,11,1277
3709,2014-12-01,Andhra Pradesh,Krishna,Rice,0.1,2400.0,1528,1380,2014,12,1232
3765,2015-01-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1528,1380,2015,1,1232
3821,2015-02-01,Andhra Pradesh,Krishna,Rice,0.1,4000.0,1502,1354,2015,2,1206
3874,2015-03-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1583,1435,2015,3,1287
3932,2015-04-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1507,1359,2015,4,1211
3989,2015-05-01,Andhra Pradesh,Krishna,Rice,0.1,2100.0,1547,1399,2015,5,1251
4048,2015-06-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1583,1435,2015,6,1287
4105,2015-07-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1533,1385,2015,7,1237
4161,2015-08-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1507,1359,2015,8,1211
4221,2015-09-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1533,1385,2015,9,1237
4278,2015-10-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1502,1354,2015,10,1206
4337,2015-11-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1547,1399,2015,11,1251
4378,2015-12-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1502,1354,2015,12,1206
4418,2016-01-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1502,1354,2016,1,1206
4445,2016-02-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1528,1380,2016,2,1232
4472,2016-03-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1609,1461,2016,3,1313
4500,2016-04-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1533,1385,2016,4,1237
4528,2016-05-01,Andhra Pradesh,Krishna,Rice,0.2,3100.0,1573,1425,2016,5,1277
4558,2016-06-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1609,1461,2016,6,1313
4586,2016-07-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1559,1411,2016,7,1263
4615,2016-08-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1533,1385,2016,8,1237
4644,2016-09-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1559,1411,2016,9,1263
4673,2016-10-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1528,1380,2016,10,1232
4701,2016-11-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1573,1425,2016,11,1277
4731,2016-12-01,Andhra Pradesh,Krishna,Rice,0.1,3100.0,1528,1380,2016,12,1232
4761,2017-01-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,1528,1380,2017,1,1232
4784,2017-02-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,1497,1349,2017,2,1201
4802,2017-03-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,1578,1430,2017,3,1282
4822,2017-04-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,1502,1354,2017,4,1206
4838,2017-05-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,1542,1394,2017,5,1246
4861,2017-06-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,1578,1430,2017,6,1282
4875,2017-07-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,1528,1380,2017,7,1232
4881,2017-08-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,1502,1354,2017,8,1206
4885,2017-09-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,1528,1380,2017,9,1232
4891,2017-10-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,1497,1349,2017,10,1201
4897,2017-11-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,1542,1394,2017,11,1246
4903,2017-12-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,1497,1349,2017,12,1201
