,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month,Min_price
2069,2016-11-01,Andhra Pradesh,Vijayanagaram,Rice,6.9,,1690,1542,2016,11,1394
2070,2016-12-01,Andhra Pradesh,Vijayanagaram,Rice,7.7,,1744,1596,2016,12,1448
2071,2017-01-01,Andhra Pradesh,Vijayanagaram,Rice,8.5,,1744,1596,2017,1,1448
2072,2017-02-01,Andhra Pradesh,Vijayanagaram,Rice,8.375,,1764,1616,2017,2,1468
2073,2017-03-01,Andhra Pradesh,Vijayanagaram,Rice,8.25,,1715,1567,2017,3,1419
2074,2017-04-01,Andhra Pradesh,Vijayanagaram,Rice,8.125,,1755,1607,2017,4,1459
2075,2017-05-01,Andhra Pradesh,Vijayanagaram,Rice,8.0,,1710,1562,2017,5,1414
2076,2017-06-01,Andhra Pradesh,Vijayanagaram,Rice,8.0,,1715,1567,2017,6,1419
2077,2017-07-01,Andhra Pradesh,Vijayanagaram,Rice,8.0,,1744,1596,2017,7,1448
2078,2017-08-01,Andhra Pradesh,Vijayanagaram,Rice,8.0,,1755,1607,2017,8,1459
2079,2017-09-01,Andhra Pradesh,Vijayanagaram,Rice,8.0,,1744,1596,2017,9,1448
2080,2017-10-01,Andhra Pradesh,Vijayanagaram,Rice,8.0,,1764,1616,2017,10,1468
2081,2017-11-01,Andhra Pradesh,Vijayanagaram,Rice,8.0,,1710,1562,2017,11,1414
2082,2017-12-01,Andhra Pradesh,Vijayanagaram,Rice,8.0,,1764,1616,2017,12,1468
